cell_id,asset_id,report_date,ticcs_subclass,economic_content_fingerprint,expected_2025_overall_rating,expected_2030_revenue_growth,expected_2030_market_demand_impact,expected_2030_market_demand_rating,surface,source_uri
258743,USA_05335,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_258743_ID_WEIM_SolarPV_transition_risks.xlsx
258847,USA_05539,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_258847_WI_MISO_SolarPV_transition_risks.xlsx
260219,USA_05745,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_260219_WY_WEIM_SolarPV_transition_risks.xlsx
260368,USA_05951,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_260368_ME_ISO-NE_SolarPV_transition_risks.xlsx
261683,USA_06155,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_261683_SD_MISO_SolarPV_transition_risks.xlsx
263036,USA_06361,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_263036_OR_WEIM_SolarPV_transition_risks.xlsx
263140,USA_06567,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_263140_MN_MISO_SolarPV_transition_risks.xlsx
264493,USA_06771,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_264493_ID_WEIM_SolarPV_transition_risks.xlsx
264597,USA_06977,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_264597_WI_MISO_SolarPV_transition_risks.xlsx
265955,USA_07156,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_265955_ID_WEIM_SolarPV_transition_risks.xlsx
266062,USA_07258,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_266062_MI_MISO_SolarPV_transition_risks.xlsx
267413,USA_07361,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_267413_WY_WEIM_SolarPV_transition_risks.xlsx
267549,USA_07464,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_267549_VT_ISO-NE_SolarPV_transition_risks.xlsx
268873,USA_07566,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_268873_SD_MISO_SolarPV_transition_risks.xlsx
