cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,source_uri,ssp2-4.5_baseline_available,ssp2-4.5_future_nonnull_count,ssp5-8.5_baseline_available,ssp5-8.5_future_nonnull_count
241479,167,999,48.25,-110.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241479_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
241494,167,1014,48.25,-106.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241494_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
241495,167,1015,48.25,-106.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241495_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
241497,167,1017,48.25,-105.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241497_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
241498,167,1018,48.25,-105.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241498_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
241499,167,1019,48.25,-105.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241499_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
241500,167,1020,48.25,-105.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241500_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
241505,167,1025,48.25,-103.75,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_241505_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
242913,168,993,48.0,-111.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242913_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
242915,168,995,48.0,-111.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242915_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
242916,168,996,48.0,-111.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242916_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
242933,168,1013,48.0,-106.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242933_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
242937,168,1017,48.0,-105.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242937_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
242941,168,1021,48.0,-104.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242941_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
242945,168,1025,48.0,-103.75,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242945_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
242947,168,1027,48.0,-103.25,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242947_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
242980,168,1060,48.0,-95.0,MN,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_242980_MN_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
244352,169,992,47.75,-112.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244352_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244353,169,993,47.75,-111.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244353_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244354,169,994,47.75,-111.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244354_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244356,169,996,47.75,-111.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244356_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244359,169,999,47.75,-110.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244359_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244360,169,1000,47.75,-110.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244360_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244374,169,1014,47.75,-106.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244374_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244375,169,1015,47.75,-106.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244375_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
