cell_id,scope,hazard,scenario,baseline_year,horizon,baseline_damage,future_damage,absolute_change_magnitude,raw_factor
335196,overall,Overall,ssp2-4.5,2025,2050,-0.008419777031282865,-0.009023565936808092,0.0006037889055252269,1.0717107951056077
335196,overall,Overall,ssp2-4.5,2025,2100,-0.008419777031282865,-0.009729581180264445,0.00130980414898158,1.1555628069621238
335196,overall,Overall,ssp5-8.5,2025,2050,-0.00843718390395441,-0.00908159470188,0.00064441079792559,1.0763774744347534
335196,overall,Overall,ssp5-8.5,2025,2100,-0.00843718390395441,-0.01258803885028469,0.004150854946330279,1.491971609672372
335196,hazard,Flood,ssp2-4.5,2025,2050,-0.001350569372526696,-0.001951012413721265,0.000600443041194569,1.4445851160323868
335196,hazard,Flood,ssp2-4.5,2025,2100,-0.001350569372526696,-0.002654823481036787,0.001304254108510091,1.9657068604110601
335196,hazard,Flood,ssp5-8.5,2025,2050,-0.001367976245198241,-0.002000105830528546,0.000632129585330305,1.4620910542483139
335196,hazard,Flood,ssp5-8.5,2025,2100,-0.001367976245198241,-0.002868246945702253,0.0015002707005040122,2.096708152477165
335196,hazard,Wind,ssp2-4.5,2025,2050,-6.591818507195592e-05,-6.926404940261447e-05,3.3458643306585482e-06,1.0507578345339184
335196,hazard,Wind,ssp2-4.5,2025,2100,-6.591818507195592e-05,-7.146822554344636e-05,5.550040471490443e-06,1.0841958932187234
335196,hazard,Wind,ssp5-8.5,2025,2050,-6.591818507195592e-05,-7.819939766724222e-05,1.2281212595286305e-05,1.1863099322573916
335196,hazard,Wind,ssp5-8.5,2025,2100,-6.591818507195592e-05,-0.002716502430898226,0.00265058424582627,41.210212749833865
335196,hazard,Wildfire,ssp2-4.5,2025,2050,-0.007003289473684213,-0.007003289473684213,0.0,1.0
335196,hazard,Wildfire,ssp2-4.5,2025,2100,-0.007003289473684213,-0.007003289473684212,-8.673617379884035e-19,0.9999999999999999
335196,hazard,Wildfire,ssp5-8.5,2025,2050,-0.007003289473684213,-0.007003289473684213,0.0,1.0
335196,hazard,Wildfire,ssp5-8.5,2025,2100,-0.007003289473684213,-0.007003289473684212,-8.673617379884035e-19,0.9999999999999999
