scenario,n,minimum,p01,p05,p10,median,p90,p95,p99,maximum,below_1e_8,below_1e_7,below_1e_6,below_1e_5,below_1e_4
ssp2-4.5,11928,1.039445906934858e-10,7.463143157744233e-09,2.0075409091479072e-07,1.2963342010298408e-06,0.01,0.020389571032074158,0.02351645689221921,0.04313212931877198,0.1327881236149496,142,442,1085,2166,3281
ssp5-8.5,11928,1.060450952620755e-10,7.336788193131518e-09,2.0311083982474134e-07,1.3295259929682033e-06,0.01,0.02056609633648767,0.023515766669132243,0.04349725709538917,0.1328392797372932,142,437,1081,2156,3269
