cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr
255922,177,1042,45.75,-99.5,SD
255930,177,1050,45.75,-97.5,SD
255950,177,1070,45.75,-92.5,WI
256041,177,1161,45.75,-69.75,ME
256046,177,1166,45.75,-68.5,ME
257277,178,957,45.5,-120.75,OR
257372,178,1052,45.5,-97.0,SD
257393,178,1073,45.5,-91.75,WI
258763,179,1003,45.25,-109.25,MT
258786,179,1026,45.25,-103.5,SD
258788,179,1028,45.25,-103.0,SD
258804,179,1044,45.25,-99.0,SD
258806,179,1046,45.25,-98.5,SD
258808,179,1048,45.25,-98.0,SD
260183,180,983,45.0,-114.25,ID
260224,180,1024,45.0,-104.0,SD
260225,180,1025,45.0,-103.75,SD
260267,180,1067,45.0,-93.25,MN
260270,180,1070,45.0,-92.5,WI
260277,180,1077,45.0,-90.75,WI
260279,180,1079,45.0,-90.25,WI
260288,180,1088,45.0,-88.0,WI
261628,181,988,44.75,-113.0,MT
261664,181,1024,44.75,-104.0,SD
261668,181,1028,44.75,-103.0,SD
261704,181,1064,44.75,-94.0,MN
261715,181,1075,44.75,-91.25,WI
263065,182,985,44.5,-113.75,ID
263076,182,996,44.5,-111.0,WY
263085,182,1005,44.5,-108.75,WY
263089,182,1009,44.5,-107.75,WY
263181,182,1101,44.5,-84.75,MI
264487,183,967,44.25,-118.25,OR
264506,183,986,44.25,-113.5,ID
264524,183,1004,44.25,-109.0,WY
264525,183,1005,44.25,-108.75,WY
264534,183,1014,44.25,-106.5,WY
264537,183,1017,44.25,-105.75,WY
264568,183,1048,44.25,-98.0,SD
264569,183,1049,44.25,-97.75,SD
264570,183,1050,44.25,-97.5,SD
264609,183,1089,44.25,-87.75,WI
264667,183,1147,44.25,-73.25,VT
265969,184,1009,44.0,-107.75,WY
265974,184,1014,44.0,-106.5,WY
265975,184,1015,44.0,-106.25,WY
265976,184,1016,44.0,-106.0,WY
265978,184,1018,44.0,-105.5,WY
265979,184,1019,44.0,-105.25,WY
265981,184,1021,44.0,-104.75,WY
266009,184,1049,44.0,-97.75,SD
266024,184,1064,44.0,-94.0,MN
266046,184,1086,44.0,-88.5,WI
267357,185,957,43.75,-120.75,OR
267358,185,958,43.75,-120.5,OR
267371,185,971,43.75,-117.25,OR
267389,185,989,43.75,-112.75,ID
267390,185,990,43.75,-112.5,ID
267391,185,991,43.75,-112.25,ID
267407,185,1007,43.75,-108.25,WY
267409,185,1009,43.75,-107.75,WY
267413,185,1013,43.75,-106.75,WY
267414,185,1014,43.75,-106.5,WY
267416,185,1016,43.75,-106.0,WY
267417,185,1017,43.75,-105.75,WY
267420,185,1020,43.75,-105.0,WY
267422,185,1022,43.75,-104.5,WY
267428,185,1028,43.75,-103.0,SD
267433,185,1033,43.75,-101.75,SD
267444,185,1044,43.75,-99.0,SD
267445,185,1045,43.75,-98.75,SD
267446,185,1046,43.75,-98.5,SD
267469,185,1069,43.75,-92.75,MN
267504,185,1104,43.75,-84.0,MI
268805,186,965,43.5,-118.75,OR
268810,186,970,43.5,-117.5,OR
268828,186,988,43.5,-113.0,ID
268844,186,1004,43.5,-109.0,WY
268854,186,1014,43.5,-106.5,WY
268855,186,1015,43.5,-106.25,WY
268856,186,1016,43.5,-106.0,WY
268857,186,1017,43.5,-105.75,WY
268858,186,1018,43.5,-105.5,WY
268860,186,1020,43.5,-105.0,WY
268861,186,1021,43.5,-104.75,WY
268862,186,1022,43.5,-104.5,WY
268863,186,1023,43.5,-104.25,WY
268884,186,1044,43.5,-99.0,SD
270249,187,969,43.25,-117.75,OR
270252,187,972,43.25,-117.0,ID
270257,187,977,43.25,-115.75,ID
270263,187,983,43.25,-114.25,ID
270267,187,987,43.25,-113.25,ID
270268,187,988,43.25,-113.0,ID
270269,187,989,43.25,-112.75,ID
270285,187,1005,43.25,-108.75,WY
270292,187,1012,43.25,-107.0,WY
270293,187,1013,43.25,-106.75,WY
270295,187,1015,43.25,-106.25,WY
270297,187,1017,43.25,-105.75,WY
270299,187,1019,43.25,-105.25,WY
270301,187,1021,43.25,-104.75,WY
270304,187,1024,43.25,-104.0,SD
270354,187,1074,43.25,-91.5,IA
270355,187,1075,43.25,-91.25,IA
270389,187,1109,43.25,-82.75,MI
271678,188,958,43.0,-120.5,OR
271679,188,959,43.0,-120.25,OR
271680,188,960,43.0,-120.0,OR
271681,188,961,43.0,-119.75,OR
271682,188,962,43.0,-119.5,OR
271687,188,967,43.0,-118.25,OR
271688,188,968,43.0,-118.0,OR
271695,188,975,43.0,-116.25,ID
271705,188,985,43.0,-113.75,ID
271707,188,987,43.0,-113.25,ID
271708,188,988,43.0,-113.0,ID
271728,188,1008,43.0,-108.0,WY
271729,188,1009,43.0,-107.75,WY
